Port,Protocol,Count
41027,tcp,21
64787,tcp,14
50302,tcp,18
29554,tcp,10
50340,tcp,18
58612,tcp,19
48192,tcp,13
61686,tcp,5
45099,tcp,22
36665,tcp,17
51201,tcp,16
28046,tcp,12
28050,tcp,14
49747,tcp,16
6213,tcp,16
31989,tcp,15
58670,tcp,19
62660,tcp,17
14212,tcp,6
12299,tcp,23
7855,tcp,12
43483,tcp,23
58362,tcp,13
26461,tcp,18
56205,tcp,18
16290,tcp,23
8138,tcp,18
32381,tcp,15
57478,tcp,19
46987,tcp,11
26271,tcp,15
11609,tcp,15
43012,tcp,17
58784,tcp,17
54108,tcp,22
1353,tcp,18
54955,tcp,13
51833,tcp,13
17874,tcp,16
12412,tcp,17
20979,tcp,17
48266,tcp,13
26298,tcp,21
62819,tcp,17
22850,tcp,11
16349,tcp,18
15577,tcp,12
56267,tcp,11
20536,tcp,15
42374,tcp,21
14700,tcp,15
43194,tcp,19
48207,tcp,15
58649,tcp,20
43230,tcp,19
28612,tcp,20
8750,tcp,16
61124,tcp,18
4686,tcp,23
21162,tcp,11
1625,tcp,19
40840,tcp,20
19134,tcp,10
58763,tcp,17
57528,tcp,12
55828,tcp,11
24668,tcp,17
27025,tcp,16
10095,tcp,14
32451,tcp,12
60092,tcp,18
43598,tcp,20
9334,tcp,11
23716,tcp,18
9002,tcp,17
26061,tcp,19
7387,tcp,21
60031,tcp,16
1938,tcp,16
1344,tcp,21
30834,tcp,14
38656,tcp,20
15709,tcp,18
56895,tcp,18
25377,tcp,13
50883,tcp,12
14008,tcp,17
6028,tcp,18
26820,tcp,15
6300,tcp,17
31906,tcp,13
13478,tcp,20
48745,tcp,19
30900,tcp,11
27857,tcp,13
48417,tcp,14
62151,tcp,16
35013,tcp,12
37591,tcp,13
29120,tcp,14
48409,tcp,14
20145,tcp,11
38008,tcp,19
38594,tcp,17
62223,tcp,18
18301,tcp,21
54862,tcp,17
28652,tcp,16
31468,tcp,19
17218,tcp,10
55439,tcp,18
33615,tcp,19
21150,tcp,13
24740,tcp,14
14161,tcp,12
15655,tcp,14
45397,tcp,17
18523,tcp,19
29031,tcp,20
33711,tcp,17
35434,tcp,15
37777,tcp,10
31578,tcp,13
61207,tcp,8
38339,tcp,22
7391,tcp,12
9153,tcp,11
18084,tcp,9
1074,tcp,20
34020,tcp,11
13912,tcp,7
51209,tcp,18
12684,tcp,15
52968,tcp,17
12607,tcp,17
50587,tcp,16
4024,tcp,12
50946,tcp,19
64043,tcp,22
38431,tcp,11
3192,tcp,9
2368,tcp,24
4779,tcp,11
17358,tcp,16
51023,tcp,15
42713,tcp,15
38179,tcp,18
2091,tcp,19
58309,tcp,20
64228,tcp,9
42183,tcp,15
28799,tcp,18
11752,tcp,18
41442,tcp,12
49734,tcp,13
54748,tcp,12
2381,tcp,10
40753,tcp,20
23090,tcp,17
11344,tcp,14
61310,tcp,14
41174,tcp,17
29760,tcp,18
16847,tcp,13
3144,tcp,19
42492,tcp,16
43939,tcp,10
34573,tcp,16
46449,tcp,12
50606,tcp,10
38863,tcp,13
8260,tcp,16
61131,tcp,15
12828,tcp,18
28750,tcp,16
58193,tcp,23
23551,tcp,15
44954,tcp,13
19604,tcp,14
39673,tcp,17
44439,tcp,16
50491,tcp,20
26996,tcp,17
49853,tcp,16
18689,tcp,24
15518,tcp,10
17569,tcp,17
45972,tcp,10
37121,tcp,13
46827,tcp,16
63558,tcp,14
40103,tcp,19
54114,tcp,17
30841,tcp,18
42734,tcp,13
4108,tcp,11
4004,tcp,14
50685,tcp,19
28844,tcp,8
20320,tcp,13
33890,tcp,17
18973,tcp,13
53811,tcp,22
29544,tcp,19
28023,tcp,13
40150,tcp,15
30921,tcp,15
32233,tcp,11
36229,tcp,9
58936,tcp,12
44325,tcp,17
26826,tcp,17
21958,tcp,17
62379,tcp,18
